name,price,quantity,received_date
Ertiga 18-25 Black with Chrome Door Patta Kartier,1100,9,2026-04-04
SL6  Black with Chrome Door Patta Kartier,1100,6,2026-04-04
Swift 18/Dezire 17 Black with Chrome Door Patta Kartier,1000,19,2026-04-04
Tiago Black with Chrome Door Patta Kartier,1000,6,2026-04-04
Breeza 22 Black with Chrome Door Patta Kartier,1000,5,2026-04-04
Baleno 22 Black with Chrome Door Patta Kartier,1000,5,2026-04-04
XUV 300 Black with Chrome Door Patta Kartier,1000,2,2026-04-04
XUV 3XO Black with Chrome Door Patta Kartier,1050,4,2026-04-04
Old Breeza Black with Chrome Door Patta Kartier,1100,1,2026-04-04
Swift 24 Black with Chrome Door Patta Kartier,1000,2,2026-04-04
Dezire 24 Black with Chrome Door Patta Kartier,1000,1,2026-04-04
Old Ertica Black with Chrome Door Patta Kartier,800,5,2026-04-04
Altroz Black with Chrome Door Patta Kartier,1000,1,2026-04-04
Innova Type 4 Black with Chrome Door Patta Kartier,950,6,2026-04-04
Innova Type 1 Black with Chrome Door Patta Kartier,800,1,2026-04-04
Ciaz Black with Chrome Door Patta Kartier,800,5,2026-04-04
Van/Omni Black Door Patta Kartier,750,11,2026-04-04
Alto K10 22 Black Door Patta Kartier,400,8,2026-04-04
Car/Maruti 800 Black Door Patta Kartier,350,16,2026-04-04
Old Alto Black Door Patta Kartier,350,6,2026-04-04
TUV 300 Black Door Patta Kartier,550,8,2026-04-04
i10 Nios/Aura Black Door Patta Kartier,400,7,2026-04-04
Old Breeza Full Chrome Door Patta Kartier,1150,2,2026-04-04
Carens Full Chrome Door Patta Kartier,1100,3,2026-04-04
Old Wangonr Type 1 Black Door Patta Kartier,350,1,2026-04-04
Eon Black Door Patta Kartier,350,7,2026-04-04
Old Swift Black Door Patta Kartier,350,5,2026-04-04
Tiago Black Door Patta Kartier,400,6,2026-04-04
Logan Black Door Patta Kartier,400,1,2026-04-04
XUV 700 Black Door Patta Kartier,950,1,2026-04-04
Nexon Full Chrome Door Patta Kartier,950,2,2026-04-04
Baleno 22 Black Door Patta Kartier,400,2,2026-04-04
New Swift Black Door Patta Kartier,350,4,2026-04-04
Old Alto K10 Black Door Patta Kartier,350,1,2026-04-04
Universal Black with Chrome Door Patta Kartier,700,2,2026-04-04
Creta 22 Full Chrome Door Patta Kartier,1000,10,2026-04-04
Alcazar Full Chrome Door Patta Kartier,1100,2,2026-04-04
Swift 18/Dezire 17 Full Chrome Door Patta Kartier,950,9,2026-04-04
XUV 300 Full Chrome Door Patta Kartier,1000,5,2026-04-04
Punch Full Chrome Door Patta Kartier,950,5,2026-04-04
Venue 26 Full Chrome Door Patta Kartier,2200,3,2026-04-04
Old Celerio Black Door Patta Kartier,350,3,2026-04-04
New Dezire Black Door Patta Kartier,350,1,2026-04-04
Wagonr 19 Black Door Patta Kartier,350,5,2026-04-04
Eco Black Door Patta Kartier,600,2,2026-04-04
New Wagonr Black Door Patta Kartier,350,1,2026-04-04
i10 Grand Black Door Patta Techo,550,1,2026-04-04
Alcazar Black Door Patta Techo,550,3,2026-04-04
Altroz Black Door Patta Techo,450,3,2026-04-04
Wagonr Type 3 Black Door Patta Techo,450,2,2026-04-04
i20 2020 Black Door Patta Techo,400,2,2026-04-04
Old Innova Type 1 Black with Chrome Door Patta Techo,800,7,2026-04-04
Ertiga 18 Black with Chrome Door Patta Techo(Cladding),1500,1,2026-04-04
Old Celerio Black with Chrome Door Patta Techo,1100,1,2026-04-04
Old Baleno Black with Chrome Door Patta Techo,1250,1,2026-04-04
Swift 18/Dezire 17 Black with Chrome Door Patta Techo,1100,4,2026-04-04
Innova HY Cross Black with Chrome Door Patta Techo,1400,1,2026-04-04
Universal Black with Chrome Door Patta Techo,850,4,2026-04-04
XUV 300 Black with Chrome Door Patta Techo,1100,2,2026-04-04
Swift 24 Black with Chrome Door Patta Techo,1050,1,2026-04-04
Breeza 22 Black with Chrome Door Patta Techo,1100,1,2026-04-04
i20 2020 Full Chrome Door Patta Techo,1100,1,2026-04-04
Sonet Full Chrome Door Patta Techo,1100,1,2026-04-04
Tata Curvv Full Chrome Door Patta Techo,1200,7,2026-04-04
Dezire 17 Full Chrome Door Patta Techo,1100,2,2026-04-04
Nexon 2020 Full Chrome Door Patta Techo,1000,2,2026-04-04
Venue Magnetic Curtain,600,4,2026-04-04
i10 Neos Magnetic Curtain,600,3,2026-04-04
Creta 2020 Magnetic Curtain,600,13,2026-04-04
Sonet Magnetic Curtain ,600,3,2026-04-04
i20 Elite Magnetic Curtain,600,2,2026-04-04
Exter Magnetic Curtain,600,7,2026-04-04
Eon Magnetic Curtain,600,1,2026-04-04
Verna 17 Magnetic Curtain,600,2,2026-04-04
Seltos Magnetic Curtain,600,4,2026-04-04
i10 Grand Magnetic Curtain,600,3,2026-04-04
Verna Fluidic Magnetic Curtain,600,2,2026-04-04
Xcent Magnetic Curtain,600,3,2026-04-04
Aura Magnetic Curtain,600,4,2026-04-04
Old Creta Magnetic Curtain,600,4,2026-04-04
Old i10 Magnetic Curtain,600,3,2026-04-04
Sentro Zing Magnetic Curtain,600,3,2026-04-04
i20 2020 Magnetic Curtain,600,3,2026-04-04
Venue 25 Magnetic Curtain,700,5,2026-04-04
Old Innova Magnetic Curtain,700,5,2026-04-04
Old Fortuner Magnetic Curtain,700,5,2026-04-04
Innova Crysta Magnetic Curtain,700,5,2026-04-04
New Fortuner Magnetic Curtain,700,2,2026-04-04
Etios Magnetic Curtain,600,3,2026-04-04
Liva Magnetic Curtain,600,1,2026-04-04
XUV 300 Magnetic Curtain,600,7,2026-04-04
XUB 3XO Magnetic Curtain,600,9,2026-04-04
Xylo Magnetic Curtain,700,2,2026-04-04
Marazzo Magnetic Curtain,700,2,2026-04-04
TUV 300 Magnetic Curtain,700,7,2026-04-04
XUV 700 Magnetic Curtain,700,1,2026-04-04
Scorpio N Magnetic Curtain,700,5,2026-04-04
WRV Magnetic Curtain,600,3,2026-04-04
Honda ID Tech Magnetic Curtain,600,5,2026-04-04
Quid Magnetic Curtain,600,1,2026-04-04
EcoSport Magnetic Curtain,600,4,2026-04-04
Polo Magnetic Curtain,600,2,2026-04-04
Rapid Magnetic Curtain,600,2,2026-04-04
MG Astor Magnetic Curtain,600,1,2026-04-04
Beat Magnetic Curtain,600,1,2026-04-04
Vento Magnetic Curtain,600,3,2026-04-04
Kylaq Magnetic Curtain,600,3,2026-04-04
Amaze 24 Magnetic Curtain,600,5,2026-04-04
Kiger Magnetic Curtain,600,3,2026-04-04
MG Windsor Magnetic Curtain,700,3,2026-04-04
Duster Magnetic Curtain,700,3,2026-04-04
Seltos 26 Magnetic Curtain,700,4,2026-04-04
Carens Magnetic Curtain,700,5,2026-04-04
Triber Magnetic Curtain,700,3,2026-04-04
Safari 21 Magnetic Curtain,700,7,2026-04-04
Tigor Magnetic Curtain,600,7,2026-04-04
Curvv Magnetic Curtain,600,9,2026-04-04
Tiago Magnetic Curtain,600,9,2026-04-04
Altroz Magnetic Curtain,600,7,2026-04-04
Punch Magnetic Curtain,600,10,2026-04-04
Nexon 23 Magnetic Curtain,600,10,2026-04-04
Harrier Magnetic Curtain,700,6,2026-04-04
Sierra Magnetic Curtain,700,5,2026-04-04
Dezire 24 Magnetic Curtain,600,5,2026-04-04
Old Swift Magnetic Curtain,600,4,2026-04-04
Swift 18 Magnetic Curtain,600,9,2026-04-04
Old Celerio Magnetic Curtain,600,2,2026-04-04
Swift 24 Magnetic Curtain,600,4,2026-04-04
New Swift 15 Magnetic Curtain,600,5,2026-04-04
Ritz Magnetic Curtain,600,4,2026-04-04
Brezza 22 Magnetic Curtain,600,7,2026-04-04
Celerio 21 Magnetic Curtain,600,5,2026-04-04
Finz Magnetic Curtain,600,2,2026-04-04
Baleno 22 Magnetic Curtain,600,9,2026-04-04
Old Dezire Magnetic Curtain,600,3,2026-04-04
Ignis Magnetic Curtain,600,3,2026-04-04
Old Breeza Magnetic Curtain,600,4,2026-04-04
Old Ertiga Magnetic Curtain,700,1,2026-04-04
Scross Magnetic Curtain,600,3,2026-04-04
Alto 800 Magnetic Curtain,600,3,2026-04-04
Old Baleno Magnetic Curtain,600,3,2026-04-04
Wagonr 19 Magnetic Curtain,600,5,2026-04-04
New Wagonr Magnetic Curtain,600,3,2026-04-04
Dezire 17 Magnetic Curtain,600,5,2026-04-04
Spresso Magnetic Curtain,600,3,2026-04-04
Ciaz Magnetic Curtain,600,3,2026-04-04
Alto K10 22 Magnetic Curtain,600,3,2026-04-04
Ertiga 18 Magnetic Curtain,700,6,2026-04-04
Grand Vitara  Magnetic Curtain,700,10,2026-04-04
Ertiga 25  Magnetic Curtain,700,5,2026-04-04
SXL 6  Magnetic Curtain,700,3,2026-04-04
Eeco  Magnetic Curtain,700,3,2026-04-04
Altroz Deluxe Armrest,950,4,2026-04-04
Ertga 18-25 Beige Deluxe Armrest,950,5,2026-04-04
i10 Nios/Aura/Exter/i10 Grand/Elite/Centro Deluxe Armrest,950,1,2026-04-04
Wagonr 19/Spresso Deluxe Armrest,950,3,2026-04-04
Old Swift/Old Dezire/Eon/Old Celerio/SX4/Ritz/Egnis/Viesta/Zest Deluxe Armrest,950,2,2026-04-04
Nexon Deluxe Armrest,950,4,2026-04-04
Brezza 22 Deluxe Armrest,950,4,2026-04-04
Punch Deluxe Armrest,950,7,2026-04-04
Old Baleno Deluxe Armrest,950,1,2026-04-04
Dezire 17 Deluxe Armrest,950,3,2026-04-04
Old Breeza/Scross/Jaxx/WRV Deluxe Armrest,950,3,2026-04-04
New Swift/New Dezire/Old Ertiga Deluxe Armrest,950,3,2026-04-04
XUV 300 Deluxe Armrest,950,2,2026-04-04
Tiago Deluxe Armrest,950,2,2026-04-04
Old Baleno Armrest,650,3,2026-04-04
EcoSport Armrest,650,1,2026-04-04
New Swift/New Dezire/Old Ertiga Armrest,650,1,2026-04-04
Swift 24 Armrest,650,1,2026-04-04
Old Amaze/Mobilo Armrest,650,1,2026-04-04
Old Brezza Scross/Jazz/WRV Armrest,650,1,2026-04-04
XUV 300 Armrest,650,4,2026-04-04
Old i10 Armrest,650,3,2026-04-04
Swift 18 Armrest,650,1,2026-04-04
